Temperature (K)	Pressure (bar)	Density (l, g/ml)	Volume (l, ml/g)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, g/ml)	Volume (v, ml/g)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
85.000	0.78897	1.4095	0.70947	-120.16	-120.10	1.3452	0.54480	1.1157	854.24	-0.040120	279.46	0.13191	0.013106	0.0045907	217.83	25.564	42.750	3.2611	0.32580	0.55848	169.08	3.4706	6.9622	0.0054485
85.100	0.79783	1.4089	0.70977	-120.04	-119.99	1.3465	0.54441	1.1158	853.55	-0.040087	278.59	0.13176	0.013081	0.0046379	215.61	25.587	42.789	3.2593	0.32589	0.55878	169.16	3.4624	6.9711	0.0054560
85.200	0.80677	1.4083	0.71008	-119.93	-119.88	1.3479	0.54402	1.1158	852.87	-0.040053	277.72	0.13161	0.013056	0.0046855	213.42	25.609	42.827	3.2575	0.32598	0.55908	169.24	3.4542	6.9801	0.0054636
85.300	0.81578	1.4077	0.71039	-119.82	-119.76	1.3492	0.54363	1.1158	852.18	-0.040018	276.86	0.13147	0.013031	0.0047335	211.26	25.631	42.866	3.2557	0.32608	0.55939	169.32	3.4461	6.9890	0.0054711
85.400	0.82488	1.4071	0.71070	-119.71	-119.65	1.3505	0.54324	1.1159	851.49	-0.039983	276.00	0.13132	0.013006	0.0047818	209.13	25.654	42.904	3.2539	0.32617	0.55969	169.40	3.4380	6.9980	0.0054787
85.500	0.83405	1.4065	0.71101	-119.60	-119.54	1.3518	0.54285	1.1159	850.80	-0.039948	275.14	0.13117	0.012981	0.0048305	207.02	25.676	42.943	3.2522	0.32627	0.56000	169.48	3.4299	7.0069	0.0054862
85.600	0.84330	1.4058	0.71132	-119.49	-119.43	1.3531	0.54247	1.1160	850.11	-0.039913	274.29	0.13102	0.012956	0.0048795	204.94	25.698	42.981	3.2504	0.32636	0.56031	169.56	3.4219	7.0158	0.0054938
85.700	0.85263	1.4052	0.71162	-119.38	-119.32	1.3544	0.54208	1.1160	849.42	-0.039877	273.44	0.13088	0.012931	0.0049289	202.88	25.721	43.019	3.2486	0.32646	0.56062	169.64	3.4139	7.0248	0.0055014
85.800	0.86204	1.4046	0.71193	-119.27	-119.20	1.3557	0.54170	1.1161	848.73	-0.039842	272.59	0.13073	0.012906	0.0049787	200.85	25.743	43.057	3.2468	0.32655	0.56093	169.71	3.4059	7.0337	0.0055090
85.900	0.87153	1.4040	0.71225	-119.15	-119.09	1.3570	0.54132	1.1161	848.04	-0.039805	271.75	0.13058	0.012882	0.0050289	198.85	25.765	43.095	3.2451	0.32665	0.56124	169.79	3.3980	7.0427	0.0055166
86.000	0.88110	1.4034	0.71256	-119.04	-118.98	1.3583	0.54094	1.1162	847.35	-0.039769	270.91	0.13043	0.012857	0.0050795	196.87	25.787	43.133	3.2433	0.32674	0.56156	169.87	3.3901	7.0516	0.0055242
86.100	0.89075	1.4028	0.71287	-118.93	-118.87	1.3596	0.54056	1.1162	846.66	-0.039732	270.07	0.13029	0.012832	0.0051305	194.91	25.809	43.171	3.2415	0.32684	0.56187	169.95	3.3822	7.0606	0.0055318
86.200	0.90048	1.4022	0.71318	-118.82	-118.76	1.3609	0.54019	1.1163	845.97	-0.039695	269.24	0.13014	0.012807	0.0051818	192.98	25.831	43.209	3.2398	0.32694	0.56219	170.02	3.3744	7.0696	0.0055394
86.300	0.91029	1.4016	0.71349	-118.71	-118.64	1.3621	0.53981	1.1164	845.28	-0.039657	268.41	0.12999	0.012782	0.0052335	191.08	25.853	43.246	3.2380	0.32704	0.56251	170.10	3.3665	7.0785	0.0055470
86.400	0.92019	1.4009	0.71380	-118.60	-118.53	1.3634	0.53944	1.1164	844.59	-0.039619	267.58	0.12985	0.012757	0.0052856	189.19	25.875	43.284	3.2363	0.32714	0.56284	170.18	3.3588	7.0875	0.0055547
86.500	0.93017	1.4003	0.71412	-118.49	-118.42	1.3647	0.53906	1.1165	843.90	-0.039581	266.76	0.12970	0.012733	0.0053381	187.33	25.896	43.321	3.2346	0.32723	0.56316	170.26	3.3510	7.0965	0.0055623
86.600	0.94023	1.3997	0.71443	-118.37	-118.31	1.3660	0.53869	1.1166	843.20	-0.039543	265.94	0.12955	0.012708	0.0053910	185.49	25.918	43.359	3.2328	0.32733	0.56349	170.33	3.3433	7.1055	0.0055699
86.700	0.95037	1.3991	0.71474	-118.26	-118.20	1.3673	0.53832	1.1167	842.51	-0.039504	265.13	0.12940	0.012683	0.0054443	183.68	25.940	43.396	3.2311	0.32743	0.56382	170.41	3.3356	7.1144	0.0055776
86.800	0.96060	1.3985	0.71506	-118.15	-118.08	1.3686	0.53795	1.1168	841.82	-0.039465	264.32	0.12926	0.012658	0.0054980	181.89	25.961	43.433	3.2294	0.32753	0.56415	170.48	3.3279	7.1234	0.0055853
86.900	0.97091	1.3979	0.71537	-118.04	-117.97	1.3699	0.53758	1.1169	841.12	-0.039426	263.51	0.12911	0.012633	0.0055520	180.11	25.983	43.470	3.2276	0.32763	0.56448	170.56	3.3203	7.1324	0.0055929
87.000	0.98131	1.3973	0.71569	-117.93	-117.86	1.3711	0.53722	1.1169	840.43	-0.039386	262.70	0.12896	0.012609	0.0056065	178.36	26.004	43.507	3.2259	0.32773	0.56481	170.64	3.3127	7.1414	0.0056006
87.100	0.99180	1.3966	0.71600	-117.82	-117.75	1.3724	0.53685	1.1170	839.74	-0.039346	261.90	0.12882	0.012584	0.0056614	176.63	26.025	43.544	3.2242	0.32783	0.56515	170.71	3.3051	7.1504	0.0056083
87.200	1.0024	1.3960	0.71632	-117.71	-117.63	1.3737	0.53649	1.1171	839.04	-0.039306	261.10	0.12867	0.012559	0.0057167	174.93	26.047	43.581	3.2225	0.32794	0.56548	170.79	3.2976	7.1594	0.0056160
87.300	1.0130	1.3954	0.71664	-117.59	-117.52	1.3750	0.53613	1.1172	838.35	-0.039266	260.31	0.12852	0.012535	0.0057724	173.24	26.068	43.618	3.2208	0.32804	0.56582	170.86	3.2901	7.1684	0.0056237
87.400	1.0238	1.3948	0.71695	-117.48	-117.41	1.3763	0.53576	1.1174	837.65	-0.039225	259.52	0.12838	0.012510	0.0058285	171.57	26.089	43.654	3.2191	0.32814	0.56616	170.94	3.2826	7.1774	0.0056314
87.500	1.0346	1.3942	0.71727	-117.37	-117.30	1.3775	0.53540	1.1175	836.96	-0.039184	258.73	0.12823	0.012485	0.0058850	169.92	26.110	43.691	3.2174	0.32824	0.56650	171.01	3.2752	7.1864	0.0056391
87.600	1.0455	1.3936	0.71759	-117.26	-117.19	1.3788	0.53505	1.1176	836.26	-0.039142	257.94	0.12808	0.012460	0.0059419	168.30	26.132	43.727	3.2157	0.32835	0.56685	171.09	3.2677	7.1954	0.0056468
87.700	1.0565	1.3929	0.71791	-117.15	-117.07	1.3801	0.53469	1.1177	835.56	-0.039100	257.16	0.12794	0.012436	0.0059992	166.69	26.153	43.763	3.2140	0.32845	0.56719	171.16	3.2604	7.2044	0.0056546
87.800	1.0676	1.3923	0.71823	-117.04	-116.96	1.3813	0.53433	1.1178	834.87	-0.039058	256.38	0.12779	0.012411	0.0060569	165.10	26.173	43.800	3.2123	0.32855	0.56754	171.24	3.2530	7.2134	0.0056623
87.900	1.0788	1.3917	0.71854	-116.93	-116.85	1.3826	0.53398	1.1179	834.17	-0.039016	255.61	0.12764	0.012386	0.0061151	163.53	26.194	43.836	3.2106	0.32866	0.56789	171.31	3.2457	7.2224	0.0056701
88.000	1.0901	1.3911	0.71886	-116.81	-116.74	1.3839	0.53362	1.1181	833.47	-0.038973	254.84	0.12750	0.012362	0.0061737	161.98	26.215	43.872	3.2090	0.32876	0.56824	171.39	3.2383	7.2315	0.0056778
88.100	1.1014	1.3905	0.71918	-116.70	-116.62	1.3851	0.53327	1.1182	832.78	-0.038930	254.07	0.12735	0.012337	0.0062327	160.44	26.236	43.908	3.2073	0.32887	0.56860	171.46	3.2311	7.2405	0.0056856
88.200	1.1129	1.3898	0.71951	-116.59	-116.51	1.3864	0.53292	1.1183	832.08	-0.038887	253.30	0.12720	0.012312	0.0062921	158.93	26.257	43.944	3.2056	0.32897	0.56895	171.53	3.2238	7.2495	0.0056934
88.300	1.1244	1.3892	0.71983	-116.48	-116.40	1.3877	0.53257	1.1184	831.38	-0.038843	252.54	0.12706	0.012288	0.0063519	157.43	26.277	43.979	3.2040	0.32908	0.56931	171.61	3.2166	7.2586	0.0057011
88.400	1.1361	1.3886	0.72015	-116.37	-116.29	1.3889	0.53222	1.1186	830.68	-0.038799	251.78	0.12691	0.012263	0.0064122	155.95	26.298	44.015	3.2023	0.32919	0.56967	171.68	3.2094	7.2676	0.0057089
88.500	1.1478	1.3880	0.72047	-116.26	-116.17	1.3902	0.53187	1.1187	829.98	-0.038755	251.02	0.12677	0.012239	0.0064729	154.49	26.318	44.051	3.2007	0.32929	0.57003	171.75	3.2022	7.2766	0.0057167
88.600	1.1596	1.3874	0.72079	-116.15	-116.06	1.3915	0.53152	1.1189	829.28	-0.038711	250.27	0.12662	0.012214	0.0065340	153.04	26.339	44.086	3.1990	0.32940	0.57040	171.83	3.1951	7.2857	0.0057245
88.700	1.1715	1.3867	0.72112	-116.03	-115.95	1.3927	0.53117	1.1190	828.58	-0.038666	249.52	0.12647	0.012189	0.0065956	151.62	26.359	44.121	3.1974	0.32951	0.57076	171.90	3.1880	7.2947	0.0057324
88.800	1.1835	1.3861	0.72144	-115.92	-115.84	1.3940	0.53083	1.1192	827.88	-0.038621	248.77	0.12633	0.012165	0.0066576	150.20	26.380	44.157	3.1957	0.32961	0.57113	171.97	3.1809	7.3038	0.0057402
88.900	1.1956	1.3855	0.72176	-115.81	-115.73	1.3952	0.53048	1.1193	827.18	-0.038575	248.03	0.12618	0.012140	0.0067200	148.81	26.400	44.192	3.1941	0.32972	0.57150	172.04	3.1738	7.3128	0.0057480
