# Timestep Surface_Tension
0 -0.009435
1 -0.008586
2 -0.007788
3 -0.007312
4 -0.007502
5 -0.008442
6 -0.009674
7 -0.010577
8 -0.011086
9 -0.011474
10 -0.011584
11 -0.011007
12 -0.009746
13 -0.008176
14 -0.006754
15 -0.005932
16 -0.006094
17 -0.007183
18 -0.008568
19 -0.009921
20 -0.011557
21 -0.013755
22 -0.015931
23 -0.017042
24 -0.016661
25 -0.015248
26 -0.013536
27 -0.011572
28 -0.009104
29 -0.006291
30 -0.003453
31 -0.000739
32 0.001392
33 0.002298
34 0.001761
35 0.000052
36 -0.002335
37 -0.004681
38 -0.006137
39 -0.006250
40 -0.005220
41 -0.003928
42 -0.003363
43 -0.003825
44 -0.004704
45 -0.005213
46 -0.005094
47 -0.004711
48 -0.004638
49 -0.005085
50 -0.005679
51 -0.006050
52 -0.006263
53 -0.006476
54 -0.006699
55 -0.006760
56 -0.006471
57 -0.006356
58 -0.006980
59 -0.008380
60 -0.010459
61 -0.013143
62 -0.016129
63 -0.018742
64 -0.020498
65 -0.021454
66 -0.021656
67 -0.020834
68 -0.018945
69 -0.016500
70 -0.014220
71 -0.012416
72 -0.011153
73 -0.010826
74 -0.011694
75 -0.013135
76 -0.014327
77 -0.015072
78 -0.015427
79 -0.015044
80 -0.013556
81 -0.011406
82 -0.009360
83 -0.007886
84 -0.006877
85 -0.006463
86 -0.007239
87 -0.008985
88 -0.010517
89 -0.010992
90 -0.010413
91 -0.009175
92 -0.007451
93 -0.005532
94 -0.004311
95 -0.004356
96 -0.005181
97 -0.006127
98 -0.007071
99 -0.007876
