# Timestep Surface_Tension
0 -0.001417
1 0.000546
2 0.001943
3 0.002348
4 0.001586
5 0.000063
6 -0.001516
7 -0.002771
8 -0.003915
9 -0.005134
10 -0.006139
11 -0.006507
12 -0.005978
13 -0.004483
14 -0.002326
15 -0.000231
16 0.000988
17 0.001041
18 0.000366
19 -0.000752
20 -0.002634
21 -0.005441
22 -0.008357
23 -0.010420
24 -0.011620
25 -0.012276
26 -0.012492
27 -0.012154
28 -0.011212
29 -0.009828
30 -0.008127
31 -0.006249
32 -0.004794
33 -0.004416
34 -0.005241
35 -0.006964
36 -0.009055
37 -0.010733
38 -0.011261
39 -0.010605
40 -0.009343
41 -0.008244
42 -0.007950
43 -0.008526
44 -0.009152
45 -0.009039
46 -0.008306
47 -0.007345
48 -0.006485
49 -0.005928
50 -0.005676
51 -0.005985
52 -0.007275
53 -0.009435
54 -0.011831
55 -0.013736
56 -0.014507
57 -0.014140
58 -0.013136
59 -0.011983
60 -0.011341
61 -0.012060
62 -0.014512
63 -0.017965
64 -0.021191
65 -0.023549
66 -0.025049
67 -0.025565
68 -0.024927
69 -0.023416
70 -0.021367
71 -0.018710
72 -0.015550
73 -0.012625
74 -0.010813
75 -0.010498
76 -0.011579
77 -0.013666
78 -0.015752
79 -0.016868
80 -0.016866
81 -0.016294
82 -0.015646
83 -0.015128
84 -0.014562
85 -0.013976
86 -0.013835
87 -0.014144
88 -0.014421
89 -0.014299
90 -0.013724
91 -0.012757
92 -0.011094
93 -0.008740
94 -0.006945
95 -0.006843
96 -0.007906
97 -0.009268
98 -0.010734
99 -0.011884
