Temperature (K)	Pressure (bar)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
85.000	0.78897	35.284	0.028342	-4.8000	-4.7977	53.740	21.764	44.571	854.24	-0.040120	279.46	0.13191	0.013106	0.11492	8.7019	1.0212	1.7078	130.28	13.015	22.310	169.08	3.4706	6.9622	0.0054485
85.100	0.79783	35.268	0.028354	-4.7955	-4.7933	53.792	21.748	44.573	853.55	-0.040087	278.59	0.13176	0.013081	0.11610	8.6133	1.0221	1.7093	130.20	13.019	22.322	169.16	3.4624	6.9711	0.0054560
85.200	0.80677	35.253	0.028366	-4.7911	-4.7888	53.844	21.732	44.574	852.87	-0.040053	277.72	0.13161	0.013056	0.11729	8.5259	1.0230	1.7109	130.13	13.022	22.334	169.24	3.4542	6.9801	0.0054636
85.300	0.81578	35.238	0.028379	-4.7866	-4.7843	53.896	21.717	44.575	852.18	-0.040018	276.86	0.13147	0.013031	0.11849	8.4395	1.0239	1.7124	130.06	13.026	22.346	169.32	3.4461	6.9890	0.0054711
85.400	0.82488	35.222	0.028391	-4.7822	-4.7799	53.948	21.701	44.577	851.49	-0.039983	276.00	0.13132	0.013006	0.11970	8.3542	1.0248	1.7139	129.99	13.030	22.359	169.40	3.4380	6.9980	0.0054787
85.500	0.83405	35.207	0.028403	-4.7777	-4.7754	54.001	21.686	44.578	850.80	-0.039948	275.14	0.13117	0.012981	0.12092	8.2700	1.0257	1.7155	129.92	13.034	22.371	169.48	3.4299	7.0069	0.0054862
85.600	0.84330	35.192	0.028416	-4.7733	-4.7709	54.053	21.670	44.580	850.11	-0.039913	274.29	0.13102	0.012956	0.12215	8.1869	1.0266	1.7170	129.85	13.037	22.383	169.56	3.4219	7.0158	0.0054938
85.700	0.85263	35.177	0.028428	-4.7689	-4.7664	54.104	21.655	44.582	849.42	-0.039877	273.44	0.13088	0.012931	0.12338	8.1048	1.0275	1.7185	129.77	13.041	22.395	169.64	3.4139	7.0248	0.0055014
85.800	0.86204	35.161	0.028440	-4.7644	-4.7620	54.156	21.640	44.584	848.73	-0.039842	272.59	0.13073	0.012906	0.12463	8.0237	1.0284	1.7200	129.70	13.045	22.408	169.71	3.4059	7.0337	0.0055090
85.900	0.87153	35.146	0.028453	-4.7600	-4.7575	54.208	21.625	44.586	848.04	-0.039805	271.75	0.13058	0.012882	0.12589	7.9436	1.0293	1.7216	129.63	13.049	22.420	169.79	3.3980	7.0427	0.0055166
86.000	0.88110	35.131	0.028465	-4.7555	-4.7530	54.260	21.609	44.589	847.35	-0.039769	270.91	0.13043	0.012857	0.12715	7.8646	1.0301	1.7231	129.56	13.053	22.433	169.87	3.3901	7.0516	0.0055242
86.100	0.89075	35.115	0.028478	-4.7511	-4.7485	54.312	21.594	44.591	846.66	-0.039732	270.07	0.13029	0.012832	0.12843	7.7864	1.0310	1.7246	129.49	13.057	22.446	169.95	3.3822	7.0606	0.0055318
86.200	0.90048	35.100	0.028490	-4.7466	-4.7441	54.363	21.579	44.594	845.97	-0.039695	269.24	0.13014	0.012807	0.12971	7.7093	1.0319	1.7261	129.42	13.061	22.459	170.02	3.3744	7.0696	0.0055394
86.300	0.91029	35.085	0.028503	-4.7422	-4.7396	54.415	21.564	44.597	845.28	-0.039657	268.41	0.12999	0.012782	0.13101	7.6331	1.0328	1.7276	129.35	13.064	22.471	170.10	3.3665	7.0785	0.0055470
86.400	0.92019	35.069	0.028515	-4.7377	-4.7351	54.466	21.549	44.600	844.59	-0.039619	267.58	0.12985	0.012757	0.13231	7.5579	1.0336	1.7291	129.28	13.068	22.484	170.18	3.3588	7.0875	0.0055547
86.500	0.93017	35.054	0.028528	-4.7333	-4.7306	54.518	21.534	44.603	843.90	-0.039581	266.76	0.12970	0.012733	0.13363	7.4835	1.0345	1.7306	129.21	13.072	22.497	170.26	3.3510	7.0965	0.0055623
86.600	0.94023	35.038	0.028540	-4.7288	-4.7261	54.569	21.520	44.606	843.20	-0.039543	265.94	0.12955	0.012708	0.13495	7.4101	1.0354	1.7321	129.14	13.076	22.510	170.33	3.3433	7.1055	0.0055699
86.700	0.95037	35.023	0.028553	-4.7244	-4.7217	54.621	21.505	44.609	842.51	-0.039504	265.13	0.12940	0.012683	0.13628	7.3376	1.0362	1.7336	129.08	13.080	22.523	170.41	3.3356	7.1144	0.0055776
86.800	0.96060	35.008	0.028565	-4.7199	-4.7172	54.672	21.490	44.613	841.82	-0.039465	264.32	0.12926	0.012658	0.13763	7.2660	1.0371	1.7351	129.01	13.084	22.536	170.48	3.3279	7.1234	0.0055853
86.900	0.97091	34.992	0.028578	-4.7155	-4.7127	54.723	21.475	44.616	841.12	-0.039426	263.51	0.12911	0.012633	0.13898	7.1952	1.0380	1.7365	128.94	13.088	22.550	170.56	3.3203	7.1324	0.0055929
87.000	0.98131	34.977	0.028590	-4.7110	-4.7082	54.774	21.461	44.620	840.43	-0.039386	262.70	0.12896	0.012609	0.14035	7.1253	1.0388	1.7380	128.87	13.092	22.563	170.64	3.3127	7.1414	0.0056006
87.100	0.99180	34.961	0.028603	-4.7066	-4.7037	54.825	21.446	44.624	839.74	-0.039346	261.90	0.12882	0.012584	0.14172	7.0562	1.0397	1.7395	128.80	13.096	22.576	170.71	3.3051	7.1504	0.0056083
87.200	1.0024	34.946	0.028616	-4.7021	-4.6993	54.876	21.432	44.628	839.04	-0.039306	261.10	0.12867	0.012559	0.14310	6.9880	1.0405	1.7410	128.73	13.100	22.590	170.79	3.2976	7.1594	0.0056160
87.300	1.0130	34.931	0.028628	-4.6977	-4.6948	54.928	21.417	44.632	838.35	-0.039266	260.31	0.12852	0.012535	0.14450	6.9206	1.0414	1.7424	128.66	13.104	22.603	170.86	3.2901	7.1684	0.0056237
87.400	1.0238	34.915	0.028641	-4.6932	-4.6903	54.978	21.403	44.636	837.65	-0.039225	259.52	0.12838	0.012510	0.14590	6.8539	1.0422	1.7439	128.60	13.109	22.617	170.94	3.2826	7.1774	0.0056314
87.500	1.0346	34.900	0.028654	-4.6888	-4.6858	55.029	21.388	44.640	836.96	-0.039184	258.73	0.12823	0.012485	0.14732	6.7881	1.0431	1.7454	128.53	13.113	22.631	171.01	3.2752	7.1864	0.0056391
87.600	1.0455	34.884	0.028666	-4.6843	-4.6813	55.080	21.374	44.645	836.26	-0.039142	257.94	0.12808	0.012460	0.14874	6.7231	1.0439	1.7468	128.46	13.117	22.644	171.09	3.2677	7.1954	0.0056468
87.700	1.0565	34.869	0.028679	-4.6799	-4.6768	55.131	21.360	44.649	835.56	-0.039100	257.16	0.12794	0.012436	0.15018	6.6589	1.0447	1.7483	128.39	13.121	22.658	171.16	3.2604	7.2044	0.0056546
87.800	1.0676	34.853	0.028692	-4.6754	-4.6724	55.182	21.345	44.654	834.87	-0.039058	256.38	0.12779	0.012411	0.15162	6.5954	1.0456	1.7497	128.33	13.125	22.672	171.24	3.2530	7.2134	0.0056623
87.900	1.0788	34.838	0.028704	-4.6710	-4.6679	55.232	21.331	44.659	834.17	-0.039016	255.61	0.12764	0.012386	0.15308	6.5327	1.0464	1.7512	128.26	13.129	22.686	171.31	3.2457	7.2224	0.0056701
88.000	1.0901	34.822	0.028717	-4.6665	-4.6634	55.283	21.317	44.664	833.47	-0.038973	254.84	0.12750	0.012362	0.15454	6.4707	1.0472	1.7526	128.19	13.133	22.700	171.39	3.2383	7.2315	0.0056778
88.100	1.1014	34.807	0.028730	-4.6621	-4.6589	55.334	21.303	44.669	832.78	-0.038930	254.07	0.12735	0.012337	0.15602	6.4094	1.0481	1.7540	128.13	13.138	22.714	171.46	3.2311	7.2405	0.0056856
88.200	1.1129	34.791	0.028743	-4.6576	-4.6544	55.384	21.289	44.674	832.08	-0.038887	253.30	0.12720	0.012312	0.15751	6.3489	1.0489	1.7555	128.06	13.142	22.729	171.53	3.2238	7.2495	0.0056934
88.300	1.1244	34.776	0.028756	-4.6532	-4.6499	55.435	21.275	44.680	831.38	-0.038843	252.54	0.12706	0.012288	0.15901	6.2891	1.0497	1.7569	127.99	13.146	22.743	171.61	3.2166	7.2586	0.0057011
88.400	1.1361	34.760	0.028768	-4.6487	-4.6454	55.485	21.261	44.685	830.68	-0.038799	251.78	0.12691	0.012263	0.16051	6.2300	1.0506	1.7583	127.93	13.150	22.757	171.68	3.2094	7.2676	0.0057089
88.500	1.1478	34.745	0.028781	-4.6443	-4.6410	55.535	21.247	44.691	829.98	-0.038755	251.02	0.12677	0.012239	0.16203	6.1716	1.0514	1.7597	127.86	13.155	22.772	171.75	3.2022	7.2766	0.0057167
88.600	1.1596	34.729	0.028794	-4.6398	-4.6365	55.586	21.233	44.696	829.28	-0.038711	250.27	0.12662	0.012214	0.16356	6.1138	1.0522	1.7612	127.79	13.159	22.786	171.83	3.1951	7.2857	0.0057245
88.700	1.1715	34.714	0.028807	-4.6353	-4.6320	55.636	21.219	44.702	828.58	-0.038666	249.52	0.12647	0.012189	0.16510	6.0568	1.0530	1.7626	127.73	13.163	22.801	171.90	3.1880	7.2947	0.0057324
88.800	1.1835	34.698	0.028820	-4.6309	-4.6275	55.686	21.206	44.708	827.88	-0.038621	248.77	0.12633	0.012165	0.16666	6.0004	1.0538	1.7640	127.66	13.167	22.815	171.97	3.1809	7.3038	0.0057402
